( 	(
) 	)
→  	->
¬  	-.
wff  	wff
⊢  	|-
&  	&
⇒  	=>
𝜑 	ph
𝜓 	ps
𝜒 	ch
𝜃 	th
𝜏 	ta
𝜂 	et
𝜁 	ze
𝜎 	si
𝜌 	rh
𝜇 	mu
𝜆 	la
𝜅 	ka
↔  	<->
∨  	\/
∧  	/\
⊼  	-/\
⊻  	\/_
,  	,
if- 	if-
∀ 	A.
setvar  	setvar
𝑥 	x
class  	class
=  	=
𝐴 	A
𝐵 	B
⊤ 	T.
𝑦 	y
⊥ 	F.
hadd 	hadd
cadd 	cadd
𝑧 	z
𝑤 	w
𝑣 	v
𝑢 	u
𝑡 	t
∃ 	E.
Ⅎ 	F/
[ 	[
/  	/
] 	]
∈  	e.
𝑓 	f
𝑔 	g
∃! 	E!
∃* 	E*
{ 	{
∣  	|
} 	}
∧  	./\
∨  	.\/
≤  	.<_
<  	.<
+  	.+
−  	.-
×  	.X.
/  	./
↑  	.^
0  	.0.
1  	.1.
∥  	.||
∼  	.~
⊥  	._|_
⨣  	.+^
✚  	.+b
⊕  	.(+)
∗  	.*
·  	.x.
∙  	.xb
,  	.,
⊗  	.(x)
⚬  	.o.
𝟎  	.0b
𝐶 	C
𝐷 	D
𝑃 	P
𝑄 	Q
𝑅 	R
𝑆 	S
𝑇 	T
𝑈 	U
𝑒 	e
ℎ 	h
𝑖 	i
𝑗 	j
𝑘 	k
𝑚 	m
𝑛 	n
𝑜 	o
𝐸 	E
𝐹 	F
𝐺 	G
𝐻 	H
𝐼 	I
𝐽 	J
𝐾 	K
𝐿 	L
𝑀 	M
𝑁 	N
𝑉 	V
𝑊 	W
𝑋 	X
𝑌 	Y
𝑍 	Z
𝑂 	O
𝑠 	s
𝑟 	r
𝑞 	q
𝑝 	p
𝑎 	a
𝑏 	b
𝑐 	c
𝑑 	d
𝑙 	l
Ⅎ 	F/_
≠  	=/=
∉  	e/
V 	_V
CondEq 	CondEq
[ 	[.
] 	].
⦋ 	[_
⦌ 	]_
∖  	\
∪  	u.
∩  	i^i
⊆  	C_
⊊  	C.
△  	/_\
∅ 	(/)
if 	if
𝒫  	~P
⟨ 	<.
⟩ 	>.
∪  	U.
∩  	|^|
∪  	U_
∩  	|^|_
Disj  	Disj_
↦  	|->
Tr  	Tr
E  	_E
I  	_I
Po  	Po
Or  	Or
Fr  	Fr
Se  	Se
We  	We
×  	X.
◡ 	`'
dom  	dom
ran  	ran
↾  	|`
